0	1	The Benchmark Handbook	The Benchmark Handbook
89	96	CoRR	CoRR
89	97	CoRR	CoRR
89	98	CoRR	CoRR
89	99	CoRR	CoRR
89	100	CoRR	CoRR
89	101	CoRR	CoRR
89	102	CoRR	CoRR
89	103	CoRR	CoRR
89	104	CoRR	CoRR
89	105	CoRR	CoRR
89	106	CoRR	CoRR
89	107	CoRR	CoRR
89	108	CoRR	CoRR
89	109	CoRR	CoRR
89	110	CoRR	CoRR
89	111	CoRR	CoRR
89	112	CoRR	CoRR
89	113	CoRR	CoRR
89	114	CoRR	CoRR
89	115	CoRR	CoRR
89	116	CoRR	CoRR
89	117	CoRR	CoRR
89	118	CoRR	CoRR
89	119	CoRR	CoRR
89	120	CoRR	CoRR
89	121	CoRR	CoRR
89	122	CoRR	CoRR
89	123	CoRR	CoRR
89	124	CoRR	CoRR
89	125	CoRR	CoRR
89	126	CoRR	CoRR
89	127	CoRR	CoRR
89	128	CoRR	CoRR
90	91	CoRR	CoRR
90	92	CoRR	CoRR
90	93	CoRR	CoRR
90	94	CoRR	CoRR
90	95	CoRR	CoRR
90	96	CoRR	CoRR
90	97	CoRR	CoRR
90	98	CoRR	CoRR
90	99	CoRR	CoRR
90	100	CoRR	CoRR
90	101	CoRR	CoRR
90	102	CoRR	CoRR
90	103	CoRR	CoRR
90	104	CoRR	CoRR
90	105	CoRR	CoRR
90	106	CoRR	CoRR
90	107	CoRR	CoRR
90	108	CoRR	CoRR
90	109	CoRR	CoRR
90	110	CoRR	CoRR
90	111	CoRR	CoRR
90	112	CoRR	CoRR
90	113	CoRR	CoRR
90	114	CoRR	CoRR
90	115	CoRR	CoRR
90	116	CoRR	CoRR
90	117	CoRR	CoRR
90	118	CoRR	CoRR
90	119	CoRR	CoRR
90	120	CoRR	CoRR
90	121	CoRR	CoRR
90	122	CoRR	CoRR
90	123	CoRR	CoRR
90	124	CoRR	CoRR
90	125	CoRR	CoRR
90	126	CoRR	CoRR
90	127	CoRR	CoRR
90	128	CoRR	CoRR
91	92	CoRR	CoRR
91	93	CoRR	CoRR
91	94	CoRR	CoRR
91	95	CoRR	CoRR
91	96	CoRR	CoRR
91	97	CoRR	CoRR
91	98	CoRR	CoRR
91	99	CoRR	CoRR
91	100	CoRR	CoRR
91	101	CoRR	CoRR
91	102	CoRR	CoRR
91	103	CoRR	CoRR
91	104	CoRR	CoRR
91	105	CoRR	CoRR
91	106	CoRR	CoRR
91	107	CoRR	CoRR
91	108	CoRR	CoRR
91	109	CoRR	CoRR
91	110	CoRR	CoRR
91	111	CoRR	CoRR
91	112	CoRR	CoRR
91	113	CoRR	CoRR
91	114	CoRR	CoRR
91	115	CoRR	CoRR
91	116	CoRR	CoRR
91	117	CoRR	CoRR
91	118	CoRR	CoRR
91	119	CoRR	CoRR
91	120	CoRR	CoRR
91	121	CoRR	CoRR
91	122	CoRR	CoRR
91	123	CoRR	CoRR
91	124	CoRR	CoRR
91	125	CoRR	CoRR
91	126	CoRR	CoRR
91	127	CoRR	CoRR
91	128	CoRR	CoRR
92	93	CoRR	CoRR
92	94	CoRR	CoRR
92	95	CoRR	CoRR
92	96	CoRR	CoRR
92	97	CoRR	CoRR
92	98	CoRR	CoRR
92	99	CoRR	CoRR
92	100	CoRR	CoRR
92	101	CoRR	CoRR
92	102	CoRR	CoRR
92	103	CoRR	CoRR
92	104	CoRR	CoRR
92	105	CoRR	CoRR
92	106	CoRR	CoRR
92	107	CoRR	CoRR
92	108	CoRR	CoRR
92	109	CoRR	CoRR
92	110	CoRR	CoRR
92	111	CoRR	CoRR
92	112	CoRR	CoRR
92	113	CoRR	CoRR
92	114	CoRR	CoRR
92	115	CoRR	CoRR
92	116	CoRR	CoRR
92	117	CoRR	CoRR
92	118	CoRR	CoRR
92	119	CoRR	CoRR
92	120	CoRR	CoRR
92	121	CoRR	CoRR
92	122	CoRR	CoRR
92	123	CoRR	CoRR
92	124	CoRR	CoRR
92	125	CoRR	CoRR
92	126	CoRR	CoRR
92	127	CoRR	CoRR
92	128	CoRR	CoRR
93	94	CoRR	CoRR
93	95	CoRR	CoRR
93	96	CoRR	CoRR
93	97	CoRR	CoRR
93	98	CoRR	CoRR
93	99	CoRR	CoRR
93	100	CoRR	CoRR
93	101	CoRR	CoRR
93	102	CoRR	CoRR
93	103	CoRR	CoRR
93	104	CoRR	CoRR
93	105	CoRR	CoRR
93	106	CoRR	CoRR
93	107	CoRR	CoRR
93	108	CoRR	CoRR
93	109	CoRR	CoRR
93	110	CoRR	CoRR
93	111	CoRR	CoRR
93	112	CoRR	CoRR
93	113	CoRR	CoRR
93	114	CoRR	CoRR
93	115	CoRR	CoRR
93	116	CoRR	CoRR
93	117	CoRR	CoRR
93	118	CoRR	CoRR
93	119	CoRR	CoRR
93	120	CoRR	CoRR
93	121	CoRR	CoRR
93	122	CoRR	CoRR
93	123	CoRR	CoRR
93	124	CoRR	CoRR
93	125	CoRR	CoRR
93	126	CoRR	CoRR
93	127	CoRR	CoRR
93	128	CoRR	CoRR
94	95	CoRR	CoRR
94	96	CoRR	CoRR
94	97	CoRR	CoRR
94	98	CoRR	CoRR
94	99	CoRR	CoRR
94	100	CoRR	CoRR
94	101	CoRR	CoRR
94	102	CoRR	CoRR
94	103	CoRR	CoRR
94	104	CoRR	CoRR
94	105	CoRR	CoRR
94	106	CoRR	CoRR
94	107	CoRR	CoRR
94	108	CoRR	CoRR
94	109	CoRR	CoRR
94	110	CoRR	CoRR
94	111	CoRR	CoRR
94	112	CoRR	CoRR
94	113	CoRR	CoRR
94	114	CoRR	CoRR
94	115	CoRR	CoRR
94	116	CoRR	CoRR
94	117	CoRR	CoRR
94	118	CoRR	CoRR
94	119	CoRR	CoRR
94	120	CoRR	CoRR
94	121	CoRR	CoRR
94	122	CoRR	CoRR
94	123	CoRR	CoRR
94	124	CoRR	CoRR
94	125	CoRR	CoRR
94	126	CoRR	CoRR
94	127	CoRR	CoRR
94	128	CoRR	CoRR
95	96	CoRR	CoRR
95	97	CoRR	CoRR
95	98	CoRR	CoRR
95	99	CoRR	CoRR
95	100	CoRR	CoRR
95	101	CoRR	CoRR
95	102	CoRR	CoRR
95	103	CoRR	CoRR
95	104	CoRR	CoRR
95	105	CoRR	CoRR
95	106	CoRR	CoRR
95	107	CoRR	CoRR
95	108	CoRR	CoRR
95	109	CoRR	CoRR
95	110	CoRR	CoRR
95	111	CoRR	CoRR
95	112	CoRR	CoRR
95	113	CoRR	CoRR
95	114	CoRR	CoRR
95	115	CoRR	CoRR
95	116	CoRR	CoRR
95	117	CoRR	CoRR
95	118	CoRR	CoRR
95	119	CoRR	CoRR
95	120	CoRR	CoRR
95	121	CoRR	CoRR
95	122	CoRR	CoRR
95	123	CoRR	CoRR
95	124	CoRR	CoRR
95	125	CoRR	CoRR
95	126	CoRR	CoRR
95	127	CoRR	CoRR
95	128	CoRR	CoRR
96	97	CoRR	CoRR
96	98	CoRR	CoRR
96	99	CoRR	CoRR
96	100	CoRR	CoRR
96	101	CoRR	CoRR
96	102	CoRR	CoRR
96	103	CoRR	CoRR
96	104	CoRR	CoRR
96	105	CoRR	CoRR
96	106	CoRR	CoRR
96	107	CoRR	CoRR
96	108	CoRR	CoRR
96	109	CoRR	CoRR
96	110	CoRR	CoRR
96	111	CoRR	CoRR
96	112	CoRR	CoRR
96	113	CoRR	CoRR
96	114	CoRR	CoRR
96	115	CoRR	CoRR
96	116	CoRR	CoRR
96	117	CoRR	CoRR
96	118	CoRR	CoRR
96	119	CoRR	CoRR
96	120	CoRR	CoRR
96	121	CoRR	CoRR
96	122	CoRR	CoRR
96	123	CoRR	CoRR
96	124	CoRR	CoRR
96	125	CoRR	CoRR
96	126	CoRR	CoRR
96	127	CoRR	CoRR
96	128	CoRR	CoRR
97	98	CoRR	CoRR
97	99	CoRR	CoRR
97	100	CoRR	CoRR
97	101	CoRR	CoRR
97	102	CoRR	CoRR
97	103	CoRR	CoRR
97	104	CoRR	CoRR
97	105	CoRR	CoRR
97	106	CoRR	CoRR
97	107	CoRR	CoRR
97	108	CoRR	CoRR
97	109	CoRR	CoRR
97	110	CoRR	CoRR
97	111	CoRR	CoRR
97	112	CoRR	CoRR
97	113	CoRR	CoRR
97	114	CoRR	CoRR
97	115	CoRR	CoRR
97	116	CoRR	CoRR
97	117	CoRR	CoRR
97	118	CoRR	CoRR
97	119	CoRR	CoRR
97	120	CoRR	CoRR
97	121	CoRR	CoRR
97	122	CoRR	CoRR
97	123	CoRR	CoRR
97	124	CoRR	CoRR
97	125	CoRR	CoRR
97	126	CoRR	CoRR
97	127	CoRR	CoRR
97	128	CoRR	CoRR
98	99	CoRR	CoRR
98	100	CoRR	CoRR
98	101	CoRR	CoRR
98	102	CoRR	CoRR
98	103	CoRR	CoRR
98	104	CoRR	CoRR
98	105	CoRR	CoRR
98	106	CoRR	CoRR
98	107	CoRR	CoRR
98	108	CoRR	CoRR
98	109	CoRR	CoRR
98	110	CoRR	CoRR
98	111	CoRR	CoRR
98	112	CoRR	CoRR
98	113	CoRR	CoRR
98	114	CoRR	CoRR
98	115	CoRR	CoRR
98	116	CoRR	CoRR
98	117	CoRR	CoRR
98	118	CoRR	CoRR
98	119	CoRR	CoRR
98	120	CoRR	CoRR
98	121	CoRR	CoRR
98	122	CoRR	CoRR
98	123	CoRR	CoRR
98	124	CoRR	CoRR
98	125	CoRR	CoRR
98	126	CoRR	CoRR
98	127	CoRR	CoRR
98	128	CoRR	CoRR
99	100	CoRR	CoRR
99	101	CoRR	CoRR
99	102	CoRR	CoRR
99	103	CoRR	CoRR
99	104	CoRR	CoRR
99	105	CoRR	CoRR
99	106	CoRR	CoRR
99	107	CoRR	CoRR
99	108	CoRR	CoRR
99	109	CoRR	CoRR
99	110	CoRR	CoRR
99	111	CoRR	CoRR
99	112	CoRR	CoRR
99	113	CoRR	CoRR
99	114	CoRR	CoRR
99	115	CoRR	CoRR
99	116	CoRR	CoRR
99	117	CoRR	CoRR
99	118	CoRR	CoRR
99	119	CoRR	CoRR
99	120	CoRR	CoRR
99	121	CoRR	CoRR
99	122	CoRR	CoRR
99	123	CoRR	CoRR
99	124	CoRR	CoRR
99	125	CoRR	CoRR
99	126	CoRR	CoRR
99	127	CoRR	CoRR
99	128	CoRR	CoRR
100	101	CoRR	CoRR
100	102	CoRR	CoRR
100	103	CoRR	CoRR
100	104	CoRR	CoRR
100	105	CoRR	CoRR
100	106	CoRR	CoRR
100	107	CoRR	CoRR
100	108	CoRR	CoRR
100	109	CoRR	CoRR
100	110	CoRR	CoRR
100	111	CoRR	CoRR
100	112	CoRR	CoRR
100	113	CoRR	CoRR
100	114	CoRR	CoRR
100	115	CoRR	CoRR
100	116	CoRR	CoRR
100	117	CoRR	CoRR
100	118	CoRR	CoRR
100	119	CoRR	CoRR
100	120	CoRR	CoRR
100	121	CoRR	CoRR
100	122	CoRR	CoRR
100	123	CoRR	CoRR
100	124	CoRR	CoRR
100	125	CoRR	CoRR
100	126	CoRR	CoRR
100	127	CoRR	CoRR
100	128	CoRR	CoRR
101	102	CoRR	CoRR
101	103	CoRR	CoRR
101	104	CoRR	CoRR
101	105	CoRR	CoRR
101	106	CoRR	CoRR
101	107	CoRR	CoRR
101	108	CoRR	CoRR
101	109	CoRR	CoRR
101	110	CoRR	CoRR
101	111	CoRR	CoRR
101	112	CoRR	CoRR
101	113	CoRR	CoRR
101	114	CoRR	CoRR
101	115	CoRR	CoRR
101	116	CoRR	CoRR
101	117	CoRR	CoRR
101	118	CoRR	CoRR
101	119	CoRR	CoRR
101	120	CoRR	CoRR
101	121	CoRR	CoRR
101	122	CoRR	CoRR
101	123	CoRR	CoRR
101	124	CoRR	CoRR
101	125	CoRR	CoRR
101	126	CoRR	CoRR
101	127	CoRR	CoRR
101	128	CoRR	CoRR
102	103	CoRR	CoRR
102	104	CoRR	CoRR
102	105	CoRR	CoRR
102	106	CoRR	CoRR
102	107	CoRR	CoRR
102	108	CoRR	CoRR
102	109	CoRR	CoRR
102	110	CoRR	CoRR
102	111	CoRR	CoRR
102	112	CoRR	CoRR
102	113	CoRR	CoRR
102	114	CoRR	CoRR
102	115	CoRR	CoRR
102	116	CoRR	CoRR
102	117	CoRR	CoRR
102	118	CoRR	CoRR
102	119	CoRR	CoRR
102	120	CoRR	CoRR
102	121	CoRR	CoRR
102	122	CoRR	CoRR
102	123	CoRR	CoRR
102	124	CoRR	CoRR
102	125	CoRR	CoRR
102	126	CoRR	CoRR
102	127	CoRR	CoRR
102	128	CoRR	CoRR
103	104	CoRR	CoRR
103	105	CoRR	CoRR
103	106	CoRR	CoRR
103	107	CoRR	CoRR
103	108	CoRR	CoRR
103	109	CoRR	CoRR
103	110	CoRR	CoRR
103	111	CoRR	CoRR
103	112	CoRR	CoRR
103	113	CoRR	CoRR
103	114	CoRR	CoRR
103	115	CoRR	CoRR
103	116	CoRR	CoRR
103	117	CoRR	CoRR
103	118	CoRR	CoRR
103	119	CoRR	CoRR
103	120	CoRR	CoRR
103	121	CoRR	CoRR
103	122	CoRR	CoRR
103	123	CoRR	CoRR
103	124	CoRR	CoRR
103	125	CoRR	CoRR
103	126	CoRR	CoRR
103	127	CoRR	CoRR
103	128	CoRR	CoRR
104	105	CoRR	CoRR
104	106	CoRR	CoRR
104	107	CoRR	CoRR
104	108	CoRR	CoRR
104	109	CoRR	CoRR
104	110	CoRR	CoRR
104	111	CoRR	CoRR
104	112	CoRR	CoRR
104	113	CoRR	CoRR
104	114	CoRR	CoRR
104	115	CoRR	CoRR
104	116	CoRR	CoRR
104	117	CoRR	CoRR
104	118	CoRR	CoRR
104	119	CoRR	CoRR
104	120	CoRR	CoRR
104	121	CoRR	CoRR
104	122	CoRR	CoRR
104	123	CoRR	CoRR
104	124	CoRR	CoRR
104	125	CoRR	CoRR
104	126	CoRR	CoRR
104	127	CoRR	CoRR
104	128	CoRR	CoRR
105	106	CoRR	CoRR
105	107	CoRR	CoRR
105	108	CoRR	CoRR
105	109	CoRR	CoRR
105	110	CoRR	CoRR
105	111	CoRR	CoRR
105	112	CoRR	CoRR
105	113	CoRR	CoRR
105	114	CoRR	CoRR
105	115	CoRR	CoRR
105	116	CoRR	CoRR
105	117	CoRR	CoRR
105	118	CoRR	CoRR
105	119	CoRR	CoRR
105	120	CoRR	CoRR
105	121	CoRR	CoRR
105	122	CoRR	CoRR
105	123	CoRR	CoRR
105	124	CoRR	CoRR
105	125	CoRR	CoRR
105	126	CoRR	CoRR
105	127	CoRR	CoRR
105	128	CoRR	CoRR
106	107	CoRR	CoRR
106	108	CoRR	CoRR
106	109	CoRR	CoRR
106	110	CoRR	CoRR
106	111	CoRR	CoRR
106	112	CoRR	CoRR
106	113	CoRR	CoRR
106	114	CoRR	CoRR
106	115	CoRR	CoRR
106	116	CoRR	CoRR
106	117	CoRR	CoRR
106	118	CoRR	CoRR
106	119	CoRR	CoRR
106	120	CoRR	CoRR
106	121	CoRR	CoRR
106	122	CoRR	CoRR
106	123	CoRR	CoRR
106	124	CoRR	CoRR
106	125	CoRR	CoRR
106	126	CoRR	CoRR
106	127	CoRR	CoRR
106	128	CoRR	CoRR
107	108	CoRR	CoRR
107	109	CoRR	CoRR
107	110	CoRR	CoRR
107	111	CoRR	CoRR
107	112	CoRR	CoRR
107	113	CoRR	CoRR
107	114	CoRR	CoRR
107	115	CoRR	CoRR
107	116	CoRR	CoRR
107	117	CoRR	CoRR
107	118	CoRR	CoRR
107	119	CoRR	CoRR
107	120	CoRR	CoRR
107	121	CoRR	CoRR
107	122	CoRR	CoRR
107	123	CoRR	CoRR
107	124	CoRR	CoRR
107	125	CoRR	CoRR
107	126	CoRR	CoRR
107	127	CoRR	CoRR
107	128	CoRR	CoRR
108	109	CoRR	CoRR
108	110	CoRR	CoRR
108	111	CoRR	CoRR
108	112	CoRR	CoRR
108	113	CoRR	CoRR
108	114	CoRR	CoRR
108	115	CoRR	CoRR
108	116	CoRR	CoRR
108	117	CoRR	CoRR
108	118	CoRR	CoRR
108	119	CoRR	CoRR
108	120	CoRR	CoRR
108	121	CoRR	CoRR
108	122	CoRR	CoRR
108	123	CoRR	CoRR
108	124	CoRR	CoRR
108	125	CoRR	CoRR
108	126	CoRR	CoRR
108	127	CoRR	CoRR
108	128	CoRR	CoRR
109	110	CoRR	CoRR
109	111	CoRR	CoRR
109	112	CoRR	CoRR
109	113	CoRR	CoRR
109	114	CoRR	CoRR
109	115	CoRR	CoRR
109	116	CoRR	CoRR
109	117	CoRR	CoRR
109	118	CoRR	CoRR
109	119	CoRR	CoRR
109	120	CoRR	CoRR
109	121	CoRR	CoRR
109	122	CoRR	CoRR
109	123	CoRR	CoRR
109	124	CoRR	CoRR
109	125	CoRR	CoRR
109	126	CoRR	CoRR
109	127	CoRR	CoRR
109	128	CoRR	CoRR
110	111	CoRR	CoRR
110	112	CoRR	CoRR
110	113	CoRR	CoRR
110	114	CoRR	CoRR
110	115	CoRR	CoRR
110	116	CoRR	CoRR
110	117	CoRR	CoRR
110	118	CoRR	CoRR
110	119	CoRR	CoRR
110	120	CoRR	CoRR
110	121	CoRR	CoRR
110	122	CoRR	CoRR
110	123	CoRR	CoRR
110	124	CoRR	CoRR
110	125	CoRR	CoRR
110	126	CoRR	CoRR
110	127	CoRR	CoRR
110	128	CoRR	CoRR
111	112	CoRR	CoRR
111	113	CoRR	CoRR
111	114	CoRR	CoRR
111	115	CoRR	CoRR
111	116	CoRR	CoRR
111	117	CoRR	CoRR
111	118	CoRR	CoRR
111	119	CoRR	CoRR
111	120	CoRR	CoRR
111	121	CoRR	CoRR
111	122	CoRR	CoRR
111	123	CoRR	CoRR
111	124	CoRR	CoRR
111	125	CoRR	CoRR
111	126	CoRR	CoRR
111	127	CoRR	CoRR
111	128	CoRR	CoRR
112	113	CoRR	CoRR
112	114	CoRR	CoRR
112	115	CoRR	CoRR
112	116	CoRR	CoRR
112	117	CoRR	CoRR
112	118	CoRR	CoRR
112	119	CoRR	CoRR
112	120	CoRR	CoRR
112	121	CoRR	CoRR
112	122	CoRR	CoRR
112	123	CoRR	CoRR
112	124	CoRR	CoRR
112	125	CoRR	CoRR
112	126	CoRR	CoRR
112	127	CoRR	CoRR
112	128	CoRR	CoRR
113	114	CoRR	CoRR
113	115	CoRR	CoRR
113	116	CoRR	CoRR
113	117	CoRR	CoRR
113	118	CoRR	CoRR
113	119	CoRR	CoRR
113	120	CoRR	CoRR
113	121	CoRR	CoRR
113	122	CoRR	CoRR
113	123	CoRR	CoRR
113	124	CoRR	CoRR
113	125	CoRR	CoRR
113	126	CoRR	CoRR
113	127	CoRR	CoRR
113	128	CoRR	CoRR
114	115	CoRR	CoRR
114	116	CoRR	CoRR
114	117	CoRR	CoRR
114	118	CoRR	CoRR
114	119	CoRR	CoRR
114	120	CoRR	CoRR
114	121	CoRR	CoRR
114	122	CoRR	CoRR
114	123	CoRR	CoRR
114	124	CoRR	CoRR
114	125	CoRR	CoRR
114	126	CoRR	CoRR
114	127	CoRR	CoRR
114	128	CoRR	CoRR
115	116	CoRR	CoRR
115	117	CoRR	CoRR
115	118	CoRR	CoRR
115	119	CoRR	CoRR
115	120	CoRR	CoRR
115	121	CoRR	CoRR
115	122	CoRR	CoRR
115	123	CoRR	CoRR
115	124	CoRR	CoRR
115	125	CoRR	CoRR
115	126	CoRR	CoRR
115	127	CoRR	CoRR
115	128	CoRR	CoRR
116	117	CoRR	CoRR
116	118	CoRR	CoRR
116	119	CoRR	CoRR
116	120	CoRR	CoRR
116	121	CoRR	CoRR
116	122	CoRR	CoRR
116	123	CoRR	CoRR
116	124	CoRR	CoRR
116	125	CoRR	CoRR
116	126	CoRR	CoRR
116	127	CoRR	CoRR
116	128	CoRR	CoRR
117	118	CoRR	CoRR
117	119	CoRR	CoRR
117	120	CoRR	CoRR
117	121	CoRR	CoRR
117	122	CoRR	CoRR
117	123	CoRR	CoRR
117	124	CoRR	CoRR
117	125	CoRR	CoRR
117	126	CoRR	CoRR
117	127	CoRR	CoRR
117	128	CoRR	CoRR
118	119	CoRR	CoRR
118	120	CoRR	CoRR
118	121	CoRR	CoRR
118	122	CoRR	CoRR
118	123	CoRR	CoRR
118	124	CoRR	CoRR
118	125	CoRR	CoRR
118	126	CoRR	CoRR
118	127	CoRR	CoRR
118	128	CoRR	CoRR
119	120	CoRR	CoRR
119	121	CoRR	CoRR
119	122	CoRR	CoRR
119	123	CoRR	CoRR
119	124	CoRR	CoRR
119	125	CoRR	CoRR
119	126	CoRR	CoRR
119	127	CoRR	CoRR
119	128	CoRR	CoRR
120	121	CoRR	CoRR
120	122	CoRR	CoRR
120	123	CoRR	CoRR
120	124	CoRR	CoRR
120	125	CoRR	CoRR
120	126	CoRR	CoRR
120	127	CoRR	CoRR
120	128	CoRR	CoRR
121	122	CoRR	CoRR
121	123	CoRR	CoRR
121	124	CoRR	CoRR
121	125	CoRR	CoRR
121	126	CoRR	CoRR
121	127	CoRR	CoRR
121	128	CoRR	CoRR
122	123	CoRR	CoRR
122	124	CoRR	CoRR
122	125	CoRR	CoRR
122	126	CoRR	CoRR
122	127	CoRR	CoRR
122	128	CoRR	CoRR
123	124	CoRR	CoRR
123	125	CoRR	CoRR
123	126	CoRR	CoRR
123	127	CoRR	CoRR
123	128	CoRR	CoRR
124	125	CoRR	CoRR
124	126	CoRR	CoRR
124	127	CoRR	CoRR
124	128	CoRR	CoRR
125	126	CoRR	CoRR
125	127	CoRR	CoRR
125	128	CoRR	CoRR
126	127	CoRR	CoRR
126	128	CoRR	CoRR
127	128	CoRR	CoRR
132	133	IEEE Data Eng. Bull.	IEEE Data Eng. Bull.
136	137	Information and Control	Information and Control
138	139	IBM Systems Journal	IBM Systems Journal
141	142	J. ACM	J. ACM
141	143	J. ACM	J. ACM
142	143	J. ACM	J. ACM
145	146	ACM Queue	ACM Queue
145	167	ACM Queue	ACM Queue
145	168	ACM Queue	ACM Queue
146	167	ACM Queue	ACM Queue
146	168	ACM Queue	ACM Queue
147	148	SIGMOD Record	SIGMOD Record
147	149	SIGMOD Record	SIGMOD Record
147	150	SIGMOD Record	SIGMOD Record
147	151	SIGMOD Record	SIGMOD Record
147	152	SIGMOD Record	SIGMOD Record
147	153	SIGMOD Record	SIGMOD Record
147	176	SIGMOD Record	ACM SIGMOD Record
147	178	SIGMOD Record	ACM SIGMOD Record
147	182	SIGMOD Record	ACM SIGMOD Record
147	184	SIGMOD Record	ACM SIGMOD Record
148	149	SIGMOD Record	SIGMOD Record
148	150	SIGMOD Record	SIGMOD Record
148	151	SIGMOD Record	SIGMOD Record
148	152	SIGMOD Record	SIGMOD Record
148	153	SIGMOD Record	SIGMOD Record
148	176	SIGMOD Record	ACM SIGMOD Record
148	178	SIGMOD Record	ACM SIGMOD Record
148	182	SIGMOD Record	ACM SIGMOD Record
148	184	SIGMOD Record	ACM SIGMOD Record
149	150	SIGMOD Record	SIGMOD Record
149	151	SIGMOD Record	SIGMOD Record
149	152	SIGMOD Record	SIGMOD Record
149	153	SIGMOD Record	SIGMOD Record
149	176	SIGMOD Record	ACM SIGMOD Record
149	178	SIGMOD Record	ACM SIGMOD Record
149	182	SIGMOD Record	ACM SIGMOD Record
149	184	SIGMOD Record	ACM SIGMOD Record
150	151	SIGMOD Record	SIGMOD Record
150	152	SIGMOD Record	SIGMOD Record
150	153	SIGMOD Record	SIGMOD Record
150	176	SIGMOD Record	ACM SIGMOD Record
150	178	SIGMOD Record	ACM SIGMOD Record
150	182	SIGMOD Record	ACM SIGMOD Record
150	184	SIGMOD Record	ACM SIGMOD Record
151	152	SIGMOD Record	SIGMOD Record
151	153	SIGMOD Record	SIGMOD Record
151	176	SIGMOD Record	ACM SIGMOD Record
151	178	SIGMOD Record	ACM SIGMOD Record
151	182	SIGMOD Record	ACM SIGMOD Record
151	184	SIGMOD Record	ACM SIGMOD Record
152	153	SIGMOD Record	SIGMOD Record
152	176	SIGMOD Record	ACM SIGMOD Record
152	178	SIGMOD Record	ACM SIGMOD Record
152	182	SIGMOD Record	ACM SIGMOD Record
152	184	SIGMOD Record	ACM SIGMOD Record
153	176	SIGMOD Record	ACM SIGMOD Record
153	178	SIGMOD Record	ACM SIGMOD Record
153	182	SIGMOD Record	ACM SIGMOD Record
153	184	SIGMOD Record	ACM SIGMOD Record
154	155	Operating Systems Review	Operating Systems Review
156	157	ACM Trans. Database Syst.	ACM Trans. Database Syst.
156	158	ACM Trans. Database Syst.	ACM Trans. Database Syst.
157	158	ACM Trans. Database Syst.	ACM Trans. Database Syst.
162	163	IBM Research Report	IBM Research Report
167	168	ACM Queue	ACM Queue
172	173	Computing in Science and Engineering	Computing in Science and Engineering
176	178	ACM SIGMOD Record	ACM SIGMOD Record
176	182	ACM SIGMOD Record	ACM SIGMOD Record
176	184	ACM SIGMOD Record	ACM SIGMOD Record
178	182	ACM SIGMOD Record	ACM SIGMOD Record
178	184	ACM SIGMOD Record	ACM SIGMOD Record
179	180	Readings in database systems (3rd ed.)	Readings in database systems (3rd ed.)
179	181	Readings in database systems (3rd ed.)	Readings in database systems (3rd ed.)
179	183	Readings in database systems (3rd ed.)	Readings in database systems (3rd ed.)
180	181	Readings in database systems (3rd ed.)	Readings in database systems (3rd ed.)
180	183	Readings in database systems (3rd ed.)	Readings in database systems (3rd ed.)
181	183	Readings in database systems (3rd ed.)	Readings in database systems (3rd ed.)
182	184	ACM SIGMOD Record	ACM SIGMOD Record
