0	75	Dennis Shasha	Dennis Shasha
93	129	Shugen Ma	Shugen Ma
93	129	Yuechao Wang	Yuechao Wang
93	130	Shugen Ma	Shugen Ma
93	130	Yuechao Wang	Yuechao Wang
93	141	Shugen Ma	Shugen Ma
93	141	Yuechao Wang	Yuechao Wang
93	145	Shugen Ma	Shugen Ma
93	146	Shugen Ma	Shugen Ma
93	146	Yuechao Wang	Yuechao Wang
93	151	Shugen Ma	Shugen Ma
93	151	Yuechao Wang	Yuechao Wang
94	95	Shugen Ma	Shugen Ma
94	95	Yuechao Wang	Yuechao Wang
94	96	Shugen Ma	Shugen Ma
94	100	Shugen Ma	Shugen Ma
94	100	Yuechao Wang	Yuechao Wang
94	102	Shugen Ma	Shugen Ma
94	103	Shugen Ma	Shugen Ma
94	128	Shugen Ma	Shugen Ma
94	128	Yuechao Wang	Yuechao Wang
94	129	Shugen Ma	Shugen Ma
94	129	Yuechao Wang	Yuechao Wang
94	130	Shugen Ma	Shugen Ma
94	130	Yuechao Wang	Yuechao Wang
94	141	Minghui Wang	Minghui Wang
94	141	Shugen Ma	Shugen Ma
94	141	Yuechao Wang	Yuechao Wang
94	145	Shugen Ma	Shugen Ma
94	146	Shugen Ma	Shugen Ma
94	146	Yuechao Wang	Yuechao Wang
94	151	Shugen Ma	Shugen Ma
94	151	Yuechao Wang	Yuechao Wang
95	96	Shugen Ma	Shugen Ma
95	100	Shugen Ma	Shugen Ma
95	100	Yuechao Wang	Yuechao Wang
95	102	Shugen Ma	Shugen Ma
95	103	Shugen Ma	Shugen Ma
95	128	Shugen Ma	Shugen Ma
95	128	Yuechao Wang	Yuechao Wang
95	129	ZhenLi Lu	ZhenLi Lu
95	129	Shugen Ma	Shugen Ma
95	129	Yuechao Wang	Yuechao Wang
95	130	Shugen Ma	Shugen Ma
95	130	Yuechao Wang	Yuechao Wang
95	141	Shugen Ma	Shugen Ma
95	141	Yuechao Wang	Yuechao Wang
95	145	Shugen Ma	Shugen Ma
95	146	Shugen Ma	Shugen Ma
95	146	Yuechao Wang	Yuechao Wang
95	151	ZhenLi Lu	ZhenLi Lu
95	151	Shugen Ma	Shugen Ma
95	151	Yuechao Wang	Yuechao Wang
96	100	Changlong Ye	Changlong Ye
96	100	Shugen Ma	Shugen Ma
96	102	Shugen Ma	Shugen Ma
96	103	Shugen Ma	Shugen Ma
96	128	Shugen Ma	Shugen Ma
96	129	Shugen Ma	Shugen Ma
96	130	Shugen Ma	Shugen Ma
96	141	Shugen Ma	Shugen Ma
96	145	Shugen Ma	Shugen Ma
96	146	Shugen Ma	Shugen Ma
96	151	Shugen Ma	Shugen Ma
98	158	Yun Q. Shi	Yun Qing Shi
98	158	Jiwu Huang	Jiwu Huang
98	160	Yun Q. Shi	Yun Q. Shi
98	160	Jiwu Huang	Jiwu Huang
99	112	Lifeng Sun	Lifeng Sun
99	112	Shiqiang Yang	Shiqiang Yang
99	164	Lifeng Sun	Lifeng Sun
99	164	Shiqiang Yang	Shiqiang Yang
100	102	Shugen Ma	Shugen Ma
100	103	Shugen Ma	Shugen Ma
100	128	Shugen Ma	Shugen Ma
100	128	Yuechao Wang	Yuechao Wang
100	129	Shugen Ma	Shugen Ma
100	129	Yuechao Wang	Yuechao Wang
100	130	Shugen Ma	Shugen Ma
100	130	Yuechao Wang	Yuechao Wang
100	141	Shugen Ma	Shugen Ma
100	141	Yuechao Wang	Yuechao Wang
100	145	Shugen Ma	Shugen Ma
100	146	Shugen Ma	Shugen Ma
100	146	Yuechao Wang	Yuechao Wang
100	151	Shugen Ma	Shugen Ma
100	151	Yuechao Wang	Yuechao Wang
101	118	Xiangyang Xue	Xiangyang Xue
101	135	Xiangyang Xue	Xiangyang Xue
101	139	Xiangyang Xue	Xiangyang Xue
101	177	Xiangyang Xue	Xiangyang Xue
102	103	Zheng Zhang	Zheng Zhang
102	103	Shugen Ma	Shugen Ma
102	103	Liping Zhang	Liping Zhang
102	103	Binggang Cao	Binggang Cao
102	128	Shugen Ma	Shugen Ma
102	129	Shugen Ma	Shugen Ma
102	130	Shugen Ma	Shugen Ma
102	141	Shugen Ma	Shugen Ma
102	145	Shugen Ma	Shugen Ma
102	146	Shugen Ma	Shugen Ma
102	151	Shugen Ma	Shugen Ma
103	128	Shugen Ma	Shugen Ma
103	129	Shugen Ma	Shugen Ma
103	130	Shugen Ma	Shugen Ma
103	141	Shugen Ma	Shugen Ma
103	145	Shugen Ma	Shugen Ma
103	146	Shugen Ma	Shugen Ma
103	151	Shugen Ma	Shugen Ma
105	108	Piew Datta	Piew Datta
105	108	Brij M. Masand	Brij M. Masand
105	108	D. R. Mani	D. R. Mani
109	157	Li Zhang	Li Zhang
110	113	Wencong Zhang	Wencong Zhang
110	113	Zhenquan Zhuang	Zhenquan Zhuang
110	166	Zhenquan Zhuang	Zhen-quan Zhuang
110	171	Wencong Zhang	Wencong Zhang
110	171	Zhenquan Zhuang	Zhenquan Zhuang
111	117	David Zhang	David Zhang
111	117	Kuanquan Wang	Kuanquan Wang
112	164	Danian Zheng	Danian Zheng
112	164	Lifeng Sun	Lifeng Sun
112	164	Shiqiang Yang	Shiqiang Yang
113	166	Zhenquan Zhuang	Zhen-quan Zhuang
113	171	Wencong Zhang	Wencong Zhang
113	171	Zhenquan Zhuang	Zhenquan Zhuang
116	123	Lizhong Li	Lizhong Li
116	123	Bo Li	Bo Li
116	123	Xi-Ren Cao	Xi-Ren Cao
116	163	Bo Li	Bo Li
118	135	Xiangyang Xue	Xiangyang Xue
118	139	Xiangyang Xue	Xiangyang Xue
118	177	Xiangyang Xue	Xiangyang Xue
121	162	Zhengrong Liang	Zhengrong Liang
122	138	Li-Shiuan Peh	Li-Shiuan Peh
123	163	Bo Li	Bo Li
128	129	Yuechao Wang	Yuechao Wang
128	129	Shugen Ma	Shugen Ma
128	130	Jinguo Liu	Jinguo Liu
128	130	Yuechao Wang	Yuechao Wang
128	130	Shugen Ma	Shugen Ma
128	141	Yuechao Wang	Yuechao Wang
128	141	Shugen Ma	Shugen Ma
128	145	Shugen Ma	Shugen Ma
128	146	Yuechao Wang	Yuechao Wang
128	146	Shugen Ma	Shugen Ma
128	149	Jinguo Liu	Jinguo Liu
128	151	Yuechao Wang	Yuechao Wang
128	151	Shugen Ma	Shugen Ma
129	130	Shugen Ma	Shugen Ma
129	130	Yuechao Wang	Yuechao Wang
129	141	Shugen Ma	Shugen Ma
129	141	Yuechao Wang	Yuechao Wang
129	145	Shugen Ma	Shugen Ma
129	146	Shugen Ma	Shugen Ma
129	146	Yuechao Wang	Yuechao Wang
129	151	ZhenLi Lu	ZhenLi Lu
129	151	Shugen Ma	Shugen Ma
129	151	Yuechao Wang	Yuechao Wang
130	141	Shugen Ma	Shugen Ma
130	141	Yuechao Wang	Yuechao Wang
130	145	Shugen Ma	Shugen Ma
130	146	Shugen Ma	Shugen Ma
130	146	Yuechao Wang	Yuechao Wang
130	149	Jinguo Liu	Jinguo Liu
130	151	Shugen Ma	Shugen Ma
130	151	Yuechao Wang	Yuechao Wang
133	167	Liang Li	Liang Li
133	173	Liang Li	Liang Li
133	173	Junwu Zhu	Junwu Zhu
135	139	Qiang Yang	Qiang Yang
135	139	Xiangyang Xue	Xiangyang Xue
135	177	Xiangyang Xue	Xiangyang Xue
139	177	Xiangyang Xue	Xiangyang Xue
140	156	Chih-Heng Ke	Chih-Heng Ke
140	156	Yueh-Min Huang	Yueh-Min Huang
141	145	Shugen Ma	Shugen Ma
141	146	Shugen Ma	Shugen Ma
141	146	Yuechao Wang	Yuechao Wang
141	151	Shugen Ma	Shugen Ma
141	151	Yuechao Wang	Yuechao Wang
145	146	Shugen Ma	Shugen Ma
145	151	Shugen Ma	Shugen Ma
146	151	Shugen Ma	Shugen Ma
146	151	Yuechao Wang	Yuechao Wang
148	179	Liang Wang	Liang Wang
149	152	Chengdong Wu	Chengdong Wu
156	159	Lianfen Huang	Lianfen Huang
158	160	Jiwu Huang	Jiwu Huang
158	160	Yun Qing Shi	Yun Q. Shi
166	171	Zhen-quan Zhuang	Zhenquan Zhuang
167	170	TONG-SHENG CHE	Tongsheng Che
167	173	Liang Li	Liang Li
171	172	Hong Chen	Hong Chen
