0	33	Hui Wu	Hui Wu
162	163	Luis F. Luna-Reyes	Luis F. Luna-Reyes
162	206	Jose Ramon Gil-Garcia	J. Ramon Gil-Garcia
162	206	Luis F. Luna-Reyes	Luis F. Luna Reyes
162	206	Sehl Mellouli	Sehl Mellouli
162	206	Celene Navarrete	Celene Navarrete
162	206	Theresa A. Pardo	Theresa Pardo
163	206	Luis F. Luna-Reyes	Luis F. Luna Reyes
165	175	Rangachar Kasturi	Rangachar Kasturi
167	183	Ying Jin	Ying Jin
167	183	Pengfei Ma	Pengfei Ma
167	183	Weiping Hao	Weiping Hao
167	203	Ying Jin	Ying Jin
167	212	Ying Jin	Ying Jin
169	173	Kwei-Jay Lin	Kwei-Jay Lin
169	177	Yanlong Zhai	Yanlong Zhai
169	177	Kwei-Jay Lin	Kwei-Jay Lin
169	178	Kwei-Jay Lin	Kwei-Jay Lin
170	219	Adriane Chapman	Adriane Chapman
170	219	Kristen LeFevre	Kristen LeFevre
173	177	Kwei-Jay Lin	Kwei-Jay Lin
173	178	Kwei-Jay Lin	Kwei-Jay Lin
173	178	Mark Panahi	Mark Panahi
177	178	Kwei-Jay Lin	Kwei-Jay Lin
180	188	Qi Yin	Qi Yin
180	188	Man-yin Hu	Manyin Hu
181	209	Hua Chen	Hua Chen
181	209	Xiao-gang Zhang	Xiaogang Zhang
183	203	Ying Jin	Ying Jin
183	212	Ying Jin	Ying Jin
194	195	Hui Rong	Hui Rong
194	195	Chunhong Zhang	Chunhong Zhang
194	195	Fenghong Xiang	Fenghong Xiang
199	211	Seok-Wun Ha	Seok-Wun Ha
199	227	Seok-Wun Ha	Seok-Wun Ha
203	212	Ying Jin	Ying Jin
205	218	Weimin Zhou	Weimin Zhou
205	218	Yanbo Liu	Yanbo Liu
211	227	Seok-Wun Ha	Seok-Wun Ha
222	223	Jun Dong	Jun Dong
222	229	Jun Dong	Jun Dong
223	229	Jun Dong	Jun Dong
226	228	Qing He	Qing He
